,pricebandupper,symbol,applicableMargin,bcEndDate,totalSellQuantity,adhocMargin,companyName,marketType,exDate,bcStartDate,css_status_desc,dayHigh,basePrice,securityVar,pricebandlower,sellQuantity5,sellQuantity4,sellQuantity3,cm_adj_high_dt,sellQuantity2,dayLow,sellQuantity1,quantityTraded,pChange,totalTradedValue,deliveryToTradedQuantity,totalBuyQuantity,averagePrice,indexVar,cm_ffm,purpose,buyPrice2,secDate,buyPrice1,high52,previousClose,ndEndDate,low52,buyPrice4,buyPrice3,recordDate,deliveryQuantity,buyPrice5,priceBand,extremeLossMargin,cm_adj_low_dt,varMargin,sellPrice1,sellPrice2,totalTradedVolume,sellPrice3,sellPrice4,sellPrice5,change,surv_indicator,ndStartDate,buyQuantity4,isExDateFlag,buyQuantity3,buyQuantity2,buyQuantity1,series,faceValue,buyQuantity5,closePrice,open,isinCode,lastPrice
0,3057.45,RELIANCE,15.73,,483352.0,,Reliance Industries Limited,N,11-JUN-21,,Listed,2814.0,2779.5,12.23,2501.55,44.0,3.0,5.0,29-APR-22,10.0,2761.75,297.0,2052618.0,-0.34,72353.44,40.13,209438.0,2785.99,,958951.64,DIVIDEND - RS 7 PER SHARE,2769.75,06-Jun-2022 10:00:00,2769.8,2856.15,2779.5,,2016.25,2769.5,2769.6,14-JUN-21,823656.0,2769.35,No Band,3.5,28-JUL-21,12.23,2770.0,2770.25,2597046.0,2770.45,2770.75,2770.85,-9.50,,,22.0,False,49.0,36.0,1.0,EQ,10.0,14.0,0.0,2780.0,INE002A01018,2770.0
1,3784.15,TCS,13.04,,150570.0,,Tata Consultancy Services Limited,N,25-MAY-22,,Listed,3430.0,3440.15,9.54,3096.15,11.0,150.0,38.0,17-JAN-22,1.0,3377.15,718.0,205013.0,-1.43,9318.74,47.19,105342.0,3395.98,,356308.16,DIVIDEND - RS 22 PER SHARE,3390.9,06-Jun-2022 10:00:00,3390.95,4043.0,3440.15,,3122.65,3390.6,3390.8,26-MAY-22,96748.0,3390.5,No Band,3.5,03-JUN-21,9.54,3392.0,3392.05,274405.0,3392.4,3392.5,3392.55,-49.25,,,11.0,False,40.0,45.0,1.0,EQ,1.0,8.0,0.0,3418.0,INE467B01029,3390.9
2,2505.05,HDFC,16.49,,124378.0,,Housing Development Finance Corporation Limited,N,31-MAY-22,,Listed,2287.0,2277.35,12.99,2049.65,75.0,15.0,1.0,15-NOV-21,285.0,2256.05,111.0,352490.0,0.09,11058.58,62.82,130100.0,2272.29,,412024.09,DIVIDEND - RS 30 PER SHARE,2278.5,06-Jun-2022 10:00:00,2278.55,3021.1,2277.35,,2046.0,2278.15,2278.45,01-JUN-22,221437.0,2278.1,No Band,3.5,08-MAR-22,12.99,2279.4,2279.45,486671.0,2279.5,2279.55,2279.6,2.05,,,2.0,False,99.0,320.0,242.0,EQ,2.0,96.0,0.0,2257.0,INE001A01036,2279.4
3,523.05,WIPRO,15.7,,655407.0,,Wipro Limited,N,05-APR-22,,Listed,472.0,475.5,12.2,427.95,431.0,1020.0,421.0,14-OCT-21,1037.0,464.2,8.0,1560929.0,-1.69,9911.17,52.57,602554.0,467.04,,70381.56,INTERIM DIVIDEND - RS 5 PER SHARE,467.35,06-Jun-2022 10:00:00,467.4,739.85,475.5,,443.2,467.25,467.3,06-APR-22,820506.0,467.2,No Band,3.5,25-MAY-22,12.2,467.45,467.5,2122125.0,467.55,467.6,467.65,-8.05,,,738.0,False,999.0,198.0,417.0,EQ,2.0,1347.0,0.0,472.0,INE075A01022,467.45
4,299.95,ITC,13.96,,1828893.0,,ITC Limited,N,26-MAY-22,,Listed,272.9,272.7,10.46,245.45,6114.0,12189.0,8508.0,20-MAY-22,1159.0,269.7,244.0,1539561.0,-0.53,5873.72,60.46,1128973.0,271.16,,238599.18,DIVIDEND - RS 6.25 PER SHARE,271.1,06-Jun-2022 10:00:00,271.15,282.35,272.7,,200.9,271.0,271.05,28-MAY-22,930886.0,270.95,No Band,3.5,09-JUL-21,10.46,271.25,271.3,2166144.0,271.35,271.4,271.45,-1.45,,,9608.0,False,8062.0,3338.0,4946.0,EQ,1.0,5372.0,0.0,272.4,INE154A01025,271.25
5,166.75,ONGC,19.63,,2085975.0,,Oil & Natural Gas Corporation Limited,N,21-FEB-22,,Listed,155.3,151.6,16.13,136.45,27410.0,39459.0,10970.0,08-MAR-22,55035.0,152.8,12921.0,10704676.0,2.28,23543.63,50.69,1778180.0,154.31,,55307.94,INTERIM DIVIDEND - RS 1.75 PER SHARE,154.95,06-Jun-2022 10:00:00,155.0,194.95,151.6,,108.5,154.85,154.9,22-FEB-22,5426272.0,154.8,No Band,3.5,23-AUG-21,16.13,155.05,155.1,15257357.0,155.15,155.2,155.25,3.45,,,13233.0,False,20755.0,5748.0,3587.0,EQ,5.0,22521.0,0.0,153.1,INE213A01029,155.05
6,447.4,HINDALCO,21.46,23-AUG-21,745909.0,,Hindalco Industries Limited,N,12-AUG-21,17-AUG-21,Listed,406.95,406.75,17.96,366.1,3365.0,1345.0,2791.0,29-MAR-22,678.0,395.95,1472.0,2673332.0,-0.68,14195.32,47.38,1022059.0,402.24,,59412.44,ANNUAL GENERAL MEETING/DIVIDEND - RS 3 PER SHARE,403.95,06-Jun-2022 10:00:00,404.0,636.0,406.75,,359.8,403.85,403.9,,1266573.0,403.8,No Band,3.5,18-JUN-21,17.96,404.1,404.15,3529066.0,404.2,404.25,404.3,-2.75,,,1671.0,False,3339.0,1082.0,5873.0,EQ,1.0,10447.0,0.0,402.6,INE038A01020,404.0
7,170.5,NTPC,15.2,,1575258.0,,NTPC Limited,N,03-FEB-22,,Listed,158.45,155.0,11.7,139.5,25780.0,32121.0,23738.0,19-APR-22,8818.0,155.2,300.0,3904767.0,2.06,10122.0,59.92,1618922.0,156.97,,73646.18,INTERIM DIVIDEND - RS 4 PER SHARE,158.1,06-Jun-2022 10:00:00,158.15,166.35,155.0,,110.45,158.0,158.05,05-FEB-22,2339862.0,157.95,No Band,3.5,03-JUN-21,11.7,158.2,158.25,6448368.0,158.3,158.35,158.4,3.2,,,25084.0,False,3166.0,1559.0,1816.0,EQ,10.0,43214.0,0.0,155.8,INE733E01010,158.2
8,130.1,IOC,15.19,,1692601.0,,Indian Oil Corporation Limited,N,09-FEB-22,,Listed,118.6,118.3,11.69,106.5,31642.0,28561.0,6866.0,09-NOV-21,24190.0,116.7,1967.0,2102228.0,-0.76,3211.65,52.34,1992797.0,117.22,,30069.77,INTERIM DIVIDEND - RS  4 PER SHARE,117.35,06-Jun-2022 10:00:00,117.4,141.5,118.3,,101.9,117.25,117.3,10-FEB-22,1100271.0,117.2,No Band,3.5,10-AUG-21,11.69,117.45,117.5,2739851.0,117.55,117.6,117.65,-0.90,,,22985.0,False,12176.0,2823.0,3746.0,EQ,10.0,105604.0,0.0,118.3,INE242A01010,117.4
9,1473.35,GRASIM,16.84,27-AUG-21,131470.0,,Grasim Industries Limited,N,12-AUG-21,14-AUG-21,Listed,1340.0,1339.45,13.34,1205.55,26.0,21.0,71.0,18-JAN-22,2.0,1316.3,17.0,547454.0,-0.78,10063.42,56.13,129099.0,1329.5,,50259.97,ANNUAL GENERAL MEETING/DIVIDEND - RS 5  PER SHARE/ SPECIAL DIVIDEND - RS 4 PER SHARE,1329.0,06-Jun-2022 10:00:00,1329.05,1929.8,1339.45,,1316.3,1328.8,1328.85,,307277.0,1328.65,No Band,3.5,06-JUN-22,13.34,1329.1,1329.25,756933.0,1329.5,1329.55,1329.6,-10.40,,,1.0,False,466.0,107.0,235.0,EQ,2.0,83.0,0.0,1334.0,INE047A01021,1329.05
10,363.7,DLF,22.22,,496753.0,,DLF Limited,N,23-AUG-21,,Listed,330.45,330.65,18.72,297.6,2252.0,905.0,2378.0,18-OCT-21,4440.0,323.05,826.0,1349916.0,-2.06,5749.76,41.37,508649.0,326.18,,20461.57,DIVIDEND - RS 2 PER SHARE,323.7,06-Jun-2022 10:00:00,323.75,449.7,330.65,,279.45,323.6,323.65,24-AUG-21,558419.0,323.55,No Band,3.5,01-JUL-21,18.72,323.95,324.0,1762756.0,324.05,324.1,324.15,-6.80,,,1009.0,False,597.0,496.0,5.0,EQ,2.0,1316.0,0.0,329.8,INE271C01023,323.85
11,1057.0,CIPLA,14.15,25-AUG-21,177956.0,,Cipla Limited,N,09-AUG-21,11-AUG-21,Listed,979.7,960.95,10.65,864.9,75.0,110.0,1.0,15-MAR-22,37.0,960.5,380.0,412383.0,1.38,6629.99,45.59,327694.0,973.01,,49619.71,ANNUAL GENERAL MEETING/DIVIDEND - RS 5 PER SHARE,974.0,06-Jun-2022 10:00:00,974.05,1083.0,960.95,,850.0,973.65,973.8,,188014.0,973.6,No Band,3.5,17-DEC-21,10.65,974.2,974.35,681390.0,974.4,974.55,974.6,13.25,,,29.0,False,2.0,2005.0,1168.0,EQ,2.0,253.0,0.0,960.95,INE059A01026,974.2
12,2583.5,SIEMENS,15.28,04-FEB-22,40873.0,,Siemens Limited,N,20-JAN-22,22-JAN-22,Listed,2362.5,2348.65,11.78,2113.8,2.0,1.0,10.0,13-DEC-21,10.0,2327.9,1.0,18562.0,0.53,730.44,45.52,48411.0,2347.48,,20910.05,DIVIDEND - RS 8 PER SHARE,2361.05,06-Jun-2022 10:00:00,2361.1,2576.85,2348.65,,1920.0,2360.6,2360.65,,8450.0,2360.55,No Band,3.5,28-JUL-21,11.78,2362.35,2362.4,31116.0,2362.45,2362.55,2362.75,12.45,,,33.0,False,4.0,13.0,11.0,EQ,2.0,49.0,0.0,2344.1,INE003A01024,2361.1
13,360.95,BPCL,16.22,,600987.0,,Bharat Petroleum Corporation Limited,N,10-FEB-22,,Listed,327.9,328.15,12.72,295.35,2929.0,1231.0,252.0,14-SEP-21,39.0,320.0,1032.0,1012715.0,-1.94,4214.93,56.08,635852.0,322.53,,31320.97,INTERIM DIVIDEND - RS 5 PER SHARE,321.7,06-Jun-2022 10:00:00,321.75,503.0,328.15,,312.2,321.6,321.65,11-FEB-22,567897.0,321.55,No Band,3.5,26-MAY-22,12.72,321.8,321.85,1306834.0,321.9,321.95,322.0,-6.35,,,1514.0,False,37.0,50.0,100.0,EQ,10.0,569.0,0.0,327.5,INE029A01011,321.8
14,2611.3,SRF,18.95,,63098.0,,SRF Limited,N,03-FEB-22,,Listed,2393.95,2373.95,15.45,2136.6,2.0,2.0,1.0,08-APR-22,17.0,2331.0,4.0,66899.0,-1.34,1973.46,35.08,59989.0,2353.79,,34480.75,INTERIM DIVIDEND - RS 4.75 PER SHARE,2342.05,06-Jun-2022 10:00:00,2342.1,2773.35,2373.95,,1304.2,2341.6,2342.0,04-FEB-22,23467.0,2341.55,No Band,3.5,03-JUN-21,15.45,2343.2,2343.25,83842.0,2343.35,2343.4,2343.65,-31.85,,,32.0,False,14.0,5.0,16.0,EQ,10.0,22.0,0.0,2375.0,INE647A01010,2342.1
15,3883.0,BRITANNIA,13.32,28-JUN-22,41942.0,,Britannia Industries Limited,N,20-JUN-22,22-JUN-22,Listed,3535.0,3530.0,9.82,3177.0,22.0,50.0,23.0,14-SEP-21,2.0,3450.05,2.0,57289.0,-1.84,2855.62,53.13,42785.0,3476.87,,41662.99,ANNUAL GENERAL MEETING/DIVIDEND - RS 56.50 PER SHARE,3463.1,06-Jun-2022 10:00:00,3463.15,4153.0,3530.0,,3050.0,3462.05,3462.1,,30437.0,3461.95,No Band,3.5,08-MAR-22,9.82,3464.65,3464.7,82132.0,3464.75,3464.9,3464.95,-65.05,,,1.0,False,2.0,1.0,1.0,EQ,1.0,2.0,0.0,3530.0,INE216A01030,3464.95
16,3390.05,MINDTREE,21.12,,67279.0,,MindTree Limited,N,21-OCT-21,,Listed,3062.0,3081.9,17.62,2773.75,4.0,24.0,2.0,18-NOV-21,3.0,2980.0,29.0,131347.0,-2.63,5209.46,33.53,57696.0,3005.6,,19812.05,INTERIM DIVIDEND - RS 10 PER SHARE,2999.5,06-Jun-2022 10:00:00,3000.0,5060.0,3081.9,,2351.0,2999.0,2999.15,22-OCT-21,44046.0,2998.85,No Band,3.5,04-JUN-21,17.62,3000.85,3001.25,173325.0,3001.3,3001.6,3001.65,-81.05,,,55.0,False,4.0,15.0,254.0,EQ,10.0,20.0,0.0,3055.25,INE018I01017,3000.85
17,162.35,GAIL,17.38,,1152295.0,,GAIL (India) Limited,N,21-APR-22,,Listed,149.95,147.6,13.88,132.85,10619.0,5268.0,7317.0,19-APR-22,1523.0,146.0,4816.0,1344617.0,0.91,3118.56,49.47,1132530.0,148.5,,26871.44,BUYBACK,148.8,06-Jun-2022 10:00:00,148.85,173.5,147.6,,125.2,148.7,148.75,22-APR-22,665203.0,148.65,No Band,3.5,20-DEC-21,13.88,148.95,149.0,2100038.0,149.05,149.1,149.15,1.35,,,6160.0,False,4738.0,3437.0,1150.0,EQ,10.0,13615.0,0.0,146.1,INE129A01019,148.95
18,86.55,ZOMATO,26.09,,3287493.0,,Zomato Limited,N,,,Listed,71.0,72.15,22.59,57.75,33904.0,23436.0,23374.0,16-NOV-21,14625.0,69.2,8232.0,11080319.0,-2.63,9549.12,36.13,2296693.0,70.13,,10223.28,,70.2,06-Jun-2022 10:00:00,70.25,169.0,72.15,,50.05,70.1,70.15,,4002842.0,70.05,20.0,3.5,10-MAY-22,22.59,70.3,70.35,13616309.0,70.4,70.45,70.5,-1.90,,,38535.0,False,11217.0,26463.0,25913.0,EQ,1.0,25831.0,0.0,70.0,INE758T01015,70.25
19,564.75,MARICO,13.62,,192216.0,,Marico Limited,N,04-FEB-22,,Listed,513.4,513.45,10.12,462.15,403.0,139.0,406.0,18-OCT-21,89.0,506.35,168.0,93128.0,-0.96,721.1,55.1,205506.0,509.05,,26550.48,INTERIM DIVIDEND - RS 6.25 PER SHARE,508.4,06-Jun-2022 10:00:00,508.5,607.7,513.45,,455.65,508.3,508.35,07-FEB-22,51314.0,508.25,No Band,3.5,27-JAN-22,10.12,508.75,508.8,141656.0,508.85,508.9,508.95,-4.95,,,452.0,False,1085.0,1278.0,347.0,EQ,1.0,1157.0,0.0,513.4,INE196A01026,508.5
