,pricebandupper,symbol,applicableMargin,bcEndDate,totalSellQuantity,adhocMargin,companyName,marketType,exDate,bcStartDate,css_status_desc,dayHigh,basePrice,securityVar,pricebandlower,sellQuantity5,sellQuantity4,sellQuantity3,cm_adj_high_dt,sellQuantity2,dayLow,sellQuantity1,quantityTraded,pChange,totalTradedValue,deliveryToTradedQuantity,totalBuyQuantity,averagePrice,indexVar,cm_ffm,purpose,buyPrice2,secDate,buyPrice1,high52,previousClose,ndEndDate,low52,buyPrice4,buyPrice3,recordDate,deliveryQuantity,buyPrice5,priceBand,extremeLossMargin,cm_adj_low_dt,varMargin,sellPrice1,sellPrice2,totalTradedVolume,sellPrice3,sellPrice4,sellPrice5,change,surv_indicator,ndStartDate,buyQuantity4,isExDateFlag,buyQuantity3,buyQuantity2,buyQuantity1,series,faceValue,buyQuantity5,closePrice,open,isinCode,lastPrice
0,3057.45,RELIANCE,15.73,,488348.0,,Reliance Industries Limited,N,11-JUN-21,,Listed,2814.0,2779.5,12.23,2501.55,264.0,270.0,10.0,29-APR-22,21.0,2761.75,83.0,2052618.0,-0.33,75279.16,40.13,212327.0,2785.38,,958951.64,DIVIDEND - RS 7 PER SHARE,2770.0,06-Jun-2022 10:00:00,2770.1,2856.15,2779.5,,2016.25,2769.55,2769.6,14-JUN-21,823656.0,2769.45,No Band,3.5,28-JUL-21,12.23,2770.7,2770.75,2702653.0,2770.9,2770.95,2771.0,-9.25,,,56.0,False,59.0,618.0,250.0,EQ,10.0,250.0,0.0,2780.0,INE002A01018,2770.25
1,3784.15,TCS,13.04,,160186.0,,Tata Consultancy Services Limited,N,25-MAY-22,,Listed,3430.0,3440.15,9.54,3096.15,146.0,8.0,234.0,17-JAN-22,60.0,3377.15,143.0,205013.0,-1.41,10300.74,47.19,103183.0,3395.73,,356308.16,DIVIDEND - RS 22 PER SHARE,3391.0,06-Jun-2022 10:00:00,3391.1,4043.0,3440.15,,3122.65,3390.45,3390.5,26-MAY-22,96748.0,3390.25,No Band,3.5,03-JUN-21,9.54,3391.65,3391.7,303344.0,3392.15,3392.2,3392.5,-48.50,,,66.0,False,20.0,1.0,1.0,EQ,1.0,5.0,0.0,3418.0,INE467B01029,3391.65
2,2505.05,HDFC,16.49,,125099.0,,Housing Development Finance Corporation Limited,N,31-MAY-22,,Listed,2287.0,2277.35,12.99,2049.65,1.0,1.0,1.0,15-NOV-21,223.0,2256.05,255.0,352490.0,0.2,11691.38,62.82,132593.0,2272.66,,412024.09,DIVIDEND - RS 30 PER SHARE,2281.85,06-Jun-2022 10:00:00,2281.9,3021.1,2277.35,,2046.0,2281.75,2281.8,01-JUN-22,221437.0,2281.7,No Band,3.5,08-MAR-22,12.99,2281.95,2282.0,514436.0,2282.25,2282.3,2282.35,4.6,,,58.0,False,49.0,48.0,216.0,EQ,2.0,126.0,0.0,2257.0,INE001A01036,2281.95
3,523.05,WIPRO,15.7,,719045.0,,Wipro Limited,N,05-APR-22,,Listed,472.0,475.5,12.2,427.95,1822.0,20.0,669.0,14-OCT-21,153.0,464.2,1606.0,1560929.0,-1.69,10465.13,52.57,616026.0,467.05,,70381.56,INTERIM DIVIDEND - RS 5 PER SHARE,467.4,06-Jun-2022 10:00:00,467.45,739.85,475.5,,443.2,467.3,467.35,06-APR-22,820506.0,467.25,No Band,3.5,25-MAY-22,12.2,467.5,467.55,2240687.0,467.6,467.65,467.7,-8.05,,,1386.0,False,3018.0,1733.0,468.0,EQ,2.0,1520.0,0.0,472.0,INE075A01022,467.45
4,299.95,ITC,13.96,,1791812.0,,ITC Limited,N,26-MAY-22,,Listed,272.9,272.7,10.46,245.45,1026.0,739.0,2153.0,20-MAY-22,12.0,269.7,896.0,1539561.0,-0.40,6478.24,60.46,1161167.0,271.18,,238599.18,DIVIDEND - RS 6.25 PER SHARE,271.55,06-Jun-2022 10:00:00,271.6,282.35,272.7,,200.9,271.45,271.5,28-MAY-22,930886.0,271.4,No Band,3.5,09-JUL-21,10.46,271.65,271.7,2388906.0,271.75,271.8,271.85,-1.10,,,5719.0,False,2387.0,2082.0,444.0,EQ,1.0,4425.0,0.0,272.4,INE154A01025,271.6
5,166.75,ONGC,19.63,,1893438.0,,Oil & Natural Gas Corporation Limited,N,21-FEB-22,,Listed,156.0,151.6,16.13,136.45,19511.0,22497.0,24304.0,08-MAR-22,7317.0,152.8,13225.0,10704676.0,2.51,26105.69,50.69,1780604.0,154.42,,55307.94,INTERIM DIVIDEND - RS 1.75 PER SHARE,155.3,06-Jun-2022 10:00:00,155.35,194.95,151.6,,108.5,155.2,155.25,22-FEB-22,5426272.0,155.15,No Band,3.5,23-AUG-21,16.13,155.4,155.45,16905640.0,155.5,155.55,155.6,3.8,,,31803.0,False,10130.0,7004.0,8633.0,EQ,5.0,17553.0,0.0,153.1,INE213A01029,155.4
6,447.4,HINDALCO,21.46,23-AUG-21,736302.0,,Hindalco Industries Limited,N,12-AUG-21,17-AUG-21,Listed,406.95,406.75,17.96,366.1,2095.0,2391.0,568.0,29-MAR-22,298.0,395.95,107.0,2673332.0,-0.60,15113.39,47.38,1042823.0,402.33,,59412.44,ANNUAL GENERAL MEETING/DIVIDEND - RS 3 PER SHARE,404.1,06-Jun-2022 10:00:00,404.15,636.0,406.75,,359.8,404.0,404.05,,1266573.0,403.95,No Band,3.5,18-JUN-21,17.96,404.3,404.35,3756466.0,404.4,404.45,404.5,-2.45,,,2084.0,False,581.0,187.0,26.0,EQ,1.0,2679.0,0.0,402.6,INE038A01020,404.3
7,170.5,NTPC,15.2,,1652758.0,,NTPC Limited,N,03-FEB-22,,Listed,158.65,155.0,11.7,139.5,9779.0,15972.0,15888.0,19-APR-22,5920.0,155.2,152.0,3904767.0,1.84,12581.63,59.92,1563714.0,157.23,,73646.18,INTERIM DIVIDEND - RS 4 PER SHARE,157.8,06-Jun-2022 10:00:00,157.85,166.35,155.0,,110.45,157.7,157.75,05-FEB-22,2339862.0,157.65,No Band,3.5,03-JUN-21,11.7,157.9,157.95,8002055.0,158.0,158.05,158.1,2.85,,,50771.0,False,34278.0,11391.0,6174.0,EQ,10.0,36218.0,0.0,155.8,INE733E01010,157.85
8,130.1,IOC,15.19,,1647173.0,,Indian Oil Corporation Limited,N,09-FEB-22,,Listed,118.6,118.3,11.69,106.5,64846.0,31753.0,11698.0,09-NOV-21,9053.0,116.7,19063.0,2102228.0,-0.46,3572.05,52.34,2125988.0,117.26,,30069.77,INTERIM DIVIDEND - RS  4 PER SHARE,117.7,06-Jun-2022 10:00:00,117.75,141.5,118.3,,101.9,117.6,117.65,10-FEB-22,1100271.0,117.55,No Band,3.5,10-AUG-21,11.69,117.8,117.85,3046267.0,117.9,117.95,118.0,-0.55,,,16954.0,False,23426.0,11433.0,266.0,EQ,10.0,28636.0,0.0,118.3,INE242A01010,117.75
9,1473.35,GRASIM,16.84,27-AUG-21,131087.0,,Grasim Industries Limited,N,12-AUG-21,14-AUG-21,Listed,1340.0,1339.45,13.34,1205.55,59.0,54.0,90.0,18-JAN-22,1.0,1316.3,36.0,547454.0,-0.89,10667.37,56.13,139045.0,1329.41,,50259.97,ANNUAL GENERAL MEETING/DIVIDEND - RS 5  PER SHARE/ SPECIAL DIVIDEND - RS 4 PER SHARE,1327.5,06-Jun-2022 10:00:00,1327.55,1929.8,1339.45,,1316.3,1327.35,1327.4,,307277.0,1327.25,No Band,3.5,06-JUN-22,13.34,1327.6,1327.9,802414.0,1328.0,1328.1,1328.15,-11.90,,,410.0,False,475.0,31.0,806.0,EQ,2.0,622.0,0.0,1334.0,INE047A01021,1327.55
