,pricebandupper,symbol,applicableMargin,bcEndDate,totalSellQuantity,adhocMargin,companyName,marketType,exDate,bcStartDate,css_status_desc,dayHigh,basePrice,securityVar,pricebandlower,sellQuantity5,sellQuantity4,sellQuantity3,cm_adj_high_dt,sellQuantity2,dayLow,sellQuantity1,quantityTraded,pChange,totalTradedValue,deliveryToTradedQuantity,totalBuyQuantity,averagePrice,indexVar,cm_ffm,purpose,buyPrice2,secDate,buyPrice1,high52,previousClose,ndEndDate,low52,buyPrice4,buyPrice3,recordDate,deliveryQuantity,buyPrice5,priceBand,extremeLossMargin,cm_adj_low_dt,varMargin,sellPrice1,sellPrice2,totalTradedVolume,sellPrice3,sellPrice4,sellPrice5,change,surv_indicator,ndStartDate,buyQuantity4,isExDateFlag,buyQuantity3,buyQuantity2,buyQuantity1,series,faceValue,buyQuantity5,closePrice,open,isinCode,lastPrice
0,3057.45,RELIANCE,15.73,,479750.0,,Reliance Industries Limited,N,11-JUN-21,,Listed,2814.0,2779.5,12.23,2501.55,104.0,3.0,157.0,29-APR-22,5.0,2761.75,5430.0,2052618.0,-0.27,70214.28,40.13,206671.0,2786.46,,958951.64,DIVIDEND - RS 7 PER SHARE,2771.25,06-Jun-2022 10:00:00,2771.5,2856.15,2779.5,,2016.25,2771.15,2771.2,14-JUN-21,823656.0,2771.1,No Band,3.5,28-JUL-21,12.23,2772.0,2772.05,2519838.0,2772.15,2772.6,2772.7,-7.50,,,5.0,False,92.0,5.0,164.0,EQ,10.0,11.0,0.0,2780.0,INE002A01018,2772.0
1,3784.15,TCS,13.04,,151882.0,,Tata Consultancy Services Limited,N,25-MAY-22,,Listed,3430.0,3440.15,9.54,3096.15,48.0,1.0,10.0,17-JAN-22,35.0,3377.15,112.0,205013.0,-1.78,8979.07,47.19,101787.0,3396.35,,356308.16,DIVIDEND - RS 22 PER SHARE,3377.9,06-Jun-2022 10:00:00,3378.0,4043.0,3440.15,,3122.65,3377.8,3377.85,26-MAY-22,96748.0,3377.75,No Band,3.5,03-JUN-21,9.54,3379.0,3379.5,264374.0,3379.6,3379.75,3379.9,-61.15,,,39.0,False,97.0,2.0,57.0,EQ,1.0,78.0,0.0,3418.0,INE467B01029,3379.0
2,2505.05,HDFC,16.49,,124199.0,,Housing Development Finance Corporation Limited,N,31-MAY-22,,Listed,2287.0,2277.35,12.99,2049.65,99.0,67.0,202.0,15-NOV-21,2.0,2256.05,188.0,352490.0,0.01,10658.64,62.82,130768.0,2272.04,,412024.09,DIVIDEND - RS 30 PER SHARE,2277.5,06-Jun-2022 10:00:00,2277.65,3021.1,2277.35,,2046.0,2277.4,2277.45,01-JUN-22,221437.0,2277.3,No Band,3.5,08-MAR-22,12.99,2277.9,2278.45,469122.0,2278.5,2278.55,2278.6,0.3,,,177.0,False,60.0,74.0,97.0,EQ,2.0,2.0,0.0,2257.0,INE001A01036,2277.65
3,523.05,WIPRO,15.7,,597963.0,,Wipro Limited,N,05-APR-22,,Listed,472.0,475.5,12.2,427.95,1791.0,642.0,2120.0,14-OCT-21,450.0,464.2,1083.0,1560929.0,-1.97,9317.87,52.57,579943.0,467.06,,70381.56,INTERIM DIVIDEND - RS 5 PER SHARE,466.05,06-Jun-2022 10:00:00,466.1,739.85,475.5,,443.2,465.95,466.0,06-APR-22,820506.0,465.9,No Band,3.5,25-MAY-22,12.2,466.15,466.2,1995005.0,466.25,466.3,466.35,-9.35,,,1316.0,False,5741.0,1125.0,36.0,EQ,2.0,1421.0,0.0,472.0,INE075A01022,466.15
4,299.95,ITC,13.96,,1786943.0,,ITC Limited,N,26-MAY-22,,Listed,272.9,272.7,10.46,245.45,1884.0,3350.0,875.0,20-MAY-22,920.0,269.7,1204.0,1539561.0,-0.39,5668.54,60.46,1148087.0,271.15,,238599.18,DIVIDEND - RS 6.25 PER SHARE,271.6,06-Jun-2022 10:00:00,271.65,282.35,272.7,,200.9,271.5,271.55,28-MAY-22,930886.0,271.45,No Band,3.5,09-JUL-21,10.46,271.7,271.75,2090555.0,271.8,271.85,271.9,-1.05,,,3327.0,False,2646.0,1701.0,402.0,EQ,1.0,5576.0,0.0,272.4,INE154A01025,271.65
5,166.75,ONGC,19.63,,2090574.0,,Oil & Natural Gas Corporation Limited,N,21-FEB-22,,Listed,155.3,151.6,16.13,136.45,18054.0,15448.0,7611.0,08-MAR-22,2848.0,152.8,1629.0,10704676.0,1.95,22725.2,50.69,1665997.0,154.28,,55307.94,INTERIM DIVIDEND - RS 1.75 PER SHARE,154.5,06-Jun-2022 10:00:00,154.55,194.95,151.6,,108.5,154.4,154.45,22-FEB-22,5426272.0,154.35,No Band,3.5,23-AUG-21,16.13,154.6,154.65,14729840.0,154.7,154.75,154.8,2.95,,,20771.0,False,12292.0,8265.0,1398.0,EQ,5.0,16577.0,0.0,153.1,INE213A01029,154.55
6,447.4,HINDALCO,21.46,23-AUG-21,720345.0,,Hindalco Industries Limited,N,12-AUG-21,17-AUG-21,Listed,406.95,406.75,17.96,366.1,2040.0,495.0,4588.0,29-MAR-22,518.0,395.95,1123.0,2673332.0,-0.45,13638.88,47.38,893322.0,402.15,,59412.44,ANNUAL GENERAL MEETING/DIVIDEND - RS 3 PER SHARE,404.8,06-Jun-2022 10:00:00,404.85,636.0,406.75,,359.8,404.7,404.75,,1266573.0,404.65,No Band,3.5,18-JUN-21,17.96,404.9,404.95,3391491.0,405.0,405.05,405.1,-1.85,,,9716.0,False,318.0,227.0,203.0,EQ,1.0,2004.0,0.0,402.6,INE038A01020,404.9
7,170.5,NTPC,15.2,,1588140.0,,NTPC Limited,N,03-FEB-22,,Listed,158.45,155.0,11.7,139.5,20493.0,10062.0,12741.0,19-APR-22,3551.0,155.2,230.0,3904767.0,1.74,9631.38,59.92,1517990.0,156.92,,73646.18,INTERIM DIVIDEND - RS 4 PER SHARE,157.65,06-Jun-2022 10:00:00,157.7,166.35,155.0,,110.45,157.55,157.6,05-FEB-22,2339862.0,157.5,No Band,3.5,03-JUN-21,11.7,157.75,157.8,6137764.0,157.85,157.9,157.95,2.7,,,15539.0,False,23772.0,6404.0,9930.0,EQ,10.0,57658.0,0.0,155.8,INE733E01010,157.7
8,130.1,IOC,15.19,,1739774.0,,Indian Oil Corporation Limited,N,09-FEB-22,,Listed,118.6,118.3,11.69,106.5,29352.0,27405.0,22368.0,09-NOV-21,11168.0,116.7,4479.0,2102228.0,-0.93,3133.33,52.34,1928146.0,117.22,,30069.77,INTERIM DIVIDEND - RS  4 PER SHARE,117.1,06-Jun-2022 10:00:00,117.15,141.5,118.3,,101.9,117.0,117.05,10-FEB-22,1100271.0,116.95,No Band,3.5,10-AUG-21,11.69,117.25,117.3,2673034.0,117.35,117.4,117.45,-1.10,,,55920.0,False,28248.0,88864.0,2621.0,EQ,10.0,26021.0,0.0,118.3,INE242A01010,117.2
9,1473.35,GRASIM,16.84,27-AUG-21,127222.0,,Grasim Industries Limited,N,12-AUG-21,14-AUG-21,Listed,1340.0,1339.45,13.34,1205.55,74.0,27.0,46.0,18-JAN-22,10.0,1316.3,104.0,547454.0,-0.59,9664.87,56.13,132786.0,1329.49,,50259.97,ANNUAL GENERAL MEETING/DIVIDEND - RS 5  PER SHARE/ SPECIAL DIVIDEND - RS 4 PER SHARE,1331.05,06-Jun-2022 10:00:00,1331.5,1929.8,1339.45,,1316.3,1330.7,1330.75,,307277.0,1330.65,No Band,3.5,06-JUN-22,13.34,1331.55,1331.85,726961.0,1331.95,1332.0,1332.2,-7.90,,,15.0,False,9.0,14.0,766.0,EQ,2.0,37.0,0.0,1334.0,INE047A01021,1331.55
