,pricebandupper,symbol,applicableMargin,bcEndDate,totalSellQuantity,adhocMargin,companyName,marketType,exDate,bcStartDate,css_status_desc,dayHigh,basePrice,securityVar,pricebandlower,sellQuantity5,sellQuantity4,sellQuantity3,cm_adj_high_dt,sellQuantity2,dayLow,sellQuantity1,quantityTraded,pChange,totalTradedValue,deliveryToTradedQuantity,totalBuyQuantity,averagePrice,indexVar,cm_ffm,purpose,buyPrice2,secDate,buyPrice1,high52,previousClose,ndEndDate,low52,buyPrice4,buyPrice3,recordDate,deliveryQuantity,buyPrice5,priceBand,extremeLossMargin,cm_adj_low_dt,varMargin,sellPrice1,sellPrice2,totalTradedVolume,sellPrice3,sellPrice4,sellPrice5,change,surv_indicator,ndStartDate,buyQuantity4,isExDateFlag,buyQuantity3,buyQuantity2,buyQuantity1,series,faceValue,buyQuantity5,closePrice,open,isinCode,lastPrice
0,3057.45,RELIANCE,15.73,,480897.0,,Reliance Industries Limited,N,11-JUN-21,,Listed,2814.0,2779.5,12.23,2501.55,15.0,3.0,97.0,29-APR-22,126.0,2761.75,19.0,2052618.0,-0.24,73176.04,40.13,212468.0,2785.81,,958951.64,DIVIDEND - RS 7 PER SHARE,2772.55,06-Jun-2022 10:00:00,2772.6,2856.15,2779.5,,2016.25,2772.35,2772.5,14-JUN-21,823656.0,2772.3,No Band,3.5,28-JUL-21,12.23,2772.9,2774.05,2626742.0,2774.1,2774.25,2774.3,-6.60,,,88.0,False,8.0,59.0,9.0,EQ,10.0,88.0,0.0,2780.0,INE002A01018,2772.9
1,3784.15,TCS,13.04,,157608.0,,Tata Consultancy Services Limited,N,25-MAY-22,,Listed,3430.0,3440.15,9.54,3096.15,52.0,25.0,59.0,17-JAN-22,185.0,3377.15,22.0,205013.0,-1.41,9524.77,47.19,104207.0,3395.87,,356308.16,DIVIDEND - RS 22 PER SHARE,3391.3,06-Jun-2022 10:00:00,3391.35,4043.0,3440.15,,3122.65,3390.9,3391.0,26-MAY-22,96748.0,3390.7,No Band,3.5,03-JUN-21,9.54,3391.65,3391.7,280481.0,3391.75,3391.9,3392.0,-48.50,,,1.0,False,22.0,7.0,5.0,EQ,1.0,25.0,0.0,3418.0,INE467B01029,3391.65
2,2505.05,HDFC,16.49,,125174.0,,Housing Development Finance Corporation Limited,N,31-MAY-22,,Listed,2287.0,2277.35,12.99,2049.65,29.0,18.0,310.0,15-NOV-21,132.0,2256.05,572.0,352490.0,0.04,11163.53,62.82,130388.0,2272.35,,412024.09,DIVIDEND - RS 30 PER SHARE,2278.1,06-Jun-2022 10:00:00,2278.35,3021.1,2277.35,,2046.0,2278.0,2278.05,01-JUN-22,221437.0,2277.95,No Band,3.5,08-MAR-22,12.99,2278.9,2279.0,491277.0,2279.1,2279.2,2279.3,1.0,,,97.0,False,114.0,64.0,125.0,EQ,2.0,3.0,0.0,2257.0,INE001A01036,2278.35
3,523.05,WIPRO,15.7,,721145.0,,Wipro Limited,N,05-APR-22,,Listed,472.0,475.5,12.2,427.95,2271.0,938.0,114.0,14-OCT-21,2015.0,464.2,39.0,1560929.0,-1.72,9997.63,52.57,607131.0,467.04,,70381.56,INTERIM DIVIDEND - RS 5 PER SHARE,467.25,06-Jun-2022 10:00:00,467.3,739.85,475.5,,443.2,467.15,467.2,06-APR-22,820506.0,467.1,No Band,3.5,25-MAY-22,12.2,467.35,467.4,2140636.0,467.45,467.5,467.55,-8.20,,,1128.0,False,1823.0,836.0,684.0,EQ,2.0,1471.0,0.0,472.0,INE075A01022,467.3
4,299.95,ITC,13.96,,1840306.0,,ITC Limited,N,26-MAY-22,,Listed,272.9,272.7,10.46,245.45,8415.0,3502.0,3794.0,20-MAY-22,1853.0,269.7,861.0,1539561.0,-0.62,6066.1,60.46,1112627.0,271.16,,238599.18,DIVIDEND - RS 6.25 PER SHARE,270.95,06-Jun-2022 10:00:00,271.0,282.35,272.7,,200.9,270.85,270.9,28-MAY-22,930886.0,270.8,No Band,3.5,09-JUL-21,10.46,271.05,271.1,2237092.0,271.15,271.2,271.25,-1.70,,,4452.0,False,2343.0,1054.0,683.0,EQ,1.0,4644.0,0.0,272.4,INE154A01025,271.0
5,166.75,ONGC,19.63,,1815889.0,,Oil & Natural Gas Corporation Limited,N,21-FEB-22,,Listed,156.0,151.6,16.13,136.45,32021.0,9049.0,8419.0,08-MAR-22,4696.0,152.8,2713.0,10704676.0,2.44,25444.94,50.69,1712910.0,154.4,,55307.94,INTERIM DIVIDEND - RS 1.75 PER SHARE,155.2,06-Jun-2022 10:00:00,155.25,194.95,151.6,,108.5,155.1,155.15,22-FEB-22,5426272.0,155.05,No Band,3.5,23-AUG-21,16.13,155.3,155.35,16479883.0,155.4,155.45,155.5,3.7,,,18539.0,False,11408.0,2187.0,2215.0,EQ,5.0,17287.0,0.0,153.1,INE213A01029,155.3
6,447.4,HINDALCO,21.46,23-AUG-21,747581.0,,Hindalco Industries Limited,N,12-AUG-21,17-AUG-21,Listed,406.95,406.75,17.96,366.1,1477.0,2773.0,2582.0,29-MAR-22,705.0,395.95,152.0,2673332.0,-0.73,14512.8,47.38,1015200.0,402.29,,59412.44,ANNUAL GENERAL MEETING/DIVIDEND - RS 3 PER SHARE,403.65,06-Jun-2022 10:00:00,403.7,636.0,406.75,,359.8,403.55,403.6,,1266573.0,403.5,No Band,3.5,18-JUN-21,17.96,403.8,403.9,3607547.0,403.95,404.0,404.05,-2.95,,,1210.0,False,1653.0,536.0,2510.0,EQ,1.0,10054.0,0.0,402.6,INE038A01020,403.8
7,170.5,NTPC,15.2,,1492353.0,,NTPC Limited,N,03-FEB-22,,Listed,158.65,155.0,11.7,139.5,35047.0,21210.0,17348.0,19-APR-22,12878.0,155.2,3950.0,3904767.0,2.29,10567.48,59.92,1664205.0,157.03,,73646.18,INTERIM DIVIDEND - RS 4 PER SHARE,158.45,06-Jun-2022 10:00:00,158.5,166.35,155.0,,110.45,158.35,158.4,05-FEB-22,2339862.0,158.3,No Band,3.5,03-JUN-21,11.7,158.55,158.6,6729595.0,158.65,158.7,158.75,3.55,,,12856.0,False,4422.0,6873.0,12410.0,EQ,10.0,22859.0,0.0,155.8,INE733E01010,158.55
8,130.1,IOC,15.19,,1875730.0,,Indian Oil Corporation Limited,N,09-FEB-22,,Listed,118.6,118.3,11.69,106.5,37734.0,18582.0,7209.0,09-NOV-21,10368.0,116.7,2231.0,2102228.0,-0.63,3290.76,52.34,2028355.0,117.23,,30069.77,INTERIM DIVIDEND - RS  4 PER SHARE,117.45,06-Jun-2022 10:00:00,117.5,141.5,118.3,,101.9,117.35,117.4,10-FEB-22,1100271.0,117.3,No Band,3.5,10-AUG-21,11.69,117.55,117.6,2807098.0,117.65,117.7,117.75,-0.75,,,30415.0,False,18893.0,23102.0,9042.0,EQ,10.0,28807.0,0.0,118.3,INE242A01010,117.55
9,1473.35,GRASIM,16.84,27-AUG-21,131386.0,,Grasim Industries Limited,N,12-AUG-21,14-AUG-21,Listed,1340.0,1339.45,13.34,1205.55,48.0,32.0,33.0,18-JAN-22,1.0,1316.3,7.0,547454.0,-0.76,10204.06,56.13,129854.0,1329.49,,50259.97,ANNUAL GENERAL MEETING/DIVIDEND - RS 5  PER SHARE/ SPECIAL DIVIDEND - RS 4 PER SHARE,1329.1,06-Jun-2022 10:00:00,1329.25,1929.8,1339.45,,1316.3,1328.95,1329.0,,307277.0,1328.85,No Band,3.5,06-JUN-22,13.34,1329.3,1329.6,767517.0,1329.9,1329.95,1330.0,-10.20,,,426.0,False,466.0,190.0,26.0,EQ,2.0,650.0,0.0,1334.0,INE047A01021,1329.25
