,pricebandupper,symbol,applicableMargin,bcEndDate,totalSellQuantity,adhocMargin,companyName,marketType,exDate,bcStartDate,css_status_desc,dayHigh,basePrice,securityVar,pricebandlower,sellQuantity5,sellQuantity4,sellQuantity3,cm_adj_high_dt,sellQuantity2,dayLow,sellQuantity1,quantityTraded,pChange,totalTradedValue,deliveryToTradedQuantity,totalBuyQuantity,averagePrice,indexVar,cm_ffm,purpose,buyPrice2,secDate,buyPrice1,high52,previousClose,ndEndDate,low52,buyPrice4,buyPrice3,recordDate,deliveryQuantity,buyPrice5,priceBand,extremeLossMargin,cm_adj_low_dt,varMargin,sellPrice1,sellPrice2,totalTradedVolume,sellPrice3,sellPrice4,sellPrice5,change,surv_indicator,ndStartDate,buyQuantity4,isExDateFlag,buyQuantity3,buyQuantity2,buyQuantity1,series,faceValue,buyQuantity5,closePrice,open,isinCode,lastPrice
0,3057.45,RELIANCE,15.73,,471929.0,,Reliance Industries Limited,N,11-JUN-21,,Listed,2814.0,2779.5,12.23,2501.55,393.0,92.0,75.0,29-APR-22,3.0,2761.75,3.0,2052618.0,-0.23,68092.55,40.13,217019.0,2786.94,,958951.64,DIVIDEND - RS 7 PER SHARE,2773.0,06-Jun-2022 10:00:00,2773.05,2856.15,2779.5,,2016.25,2772.6,2772.65,14-JUN-21,823656.0,2772.55,No Band,3.5,28-JUL-21,12.23,2773.75,2773.8,2443273.0,2773.85,2773.95,2774.0,-6.50,,,55.0,False,44.0,1999.0,25.0,EQ,10.0,61.0,0.0,2780.0,INE002A01018,2773.0
1,3784.15,TCS,13.04,,124811.0,,Tata Consultancy Services Limited,N,25-MAY-22,,Listed,3430.0,3440.15,9.54,3096.15,72.0,117.0,168.0,17-JAN-22,11.0,3378.1,124.0,205013.0,-1.76,8596.06,47.19,100043.0,3397.1,,356308.16,DIVIDEND - RS 22 PER SHARE,3378.75,06-Jun-2022 10:00:00,3379.0,4043.0,3440.15,,3122.65,3378.45,3378.7,26-MAY-22,96748.0,3378.4,No Band,3.5,03-JUN-21,9.54,3379.5,3379.9,253041.0,3379.95,3380.0,3380.15,-60.65,,,36.0,False,104.0,7.0,249.0,EQ,1.0,170.0,0.0,3418.0,INE467B01029,3379.5
2,2505.05,HDFC,16.49,,122755.0,,Housing Development Finance Corporation Limited,N,31-MAY-22,,Listed,2287.0,2277.35,12.99,2049.65,79.0,101.0,150.0,15-NOV-21,65.0,2256.05,92.0,352490.0,0.07,10477.98,62.82,131341.0,2271.93,,412024.09,DIVIDEND - RS 30 PER SHARE,2278.9,06-Jun-2022 10:00:00,2278.95,3021.1,2277.35,,2046.0,2278.8,2278.85,01-JUN-22,221437.0,2278.7,No Band,3.5,08-MAR-22,12.99,2279.8,2279.85,461193.0,2279.95,2280.0,2280.05,1.6,,,334.0,False,2.0,88.0,239.0,EQ,2.0,84.0,0.0,2257.0,INE001A01036,2278.95
3,523.05,WIPRO,15.7,,568120.0,,Wipro Limited,N,05-APR-22,,Listed,472.0,475.5,12.2,427.95,3486.0,881.0,1436.0,14-OCT-21,737.0,464.2,175.0,1560929.0,-1.86,9036.41,52.57,585997.0,467.08,,70381.56,INTERIM DIVIDEND - RS 5 PER SHARE,466.55,06-Jun-2022 10:00:00,466.6,739.85,475.5,,443.2,466.45,466.5,06-APR-22,820506.0,466.4,No Band,3.5,25-MAY-22,12.2,466.75,466.8,1934660.0,466.85,466.9,466.95,-8.85,,,680.0,False,4197.0,263.0,1488.0,EQ,2.0,740.0,0.0,472.0,INE075A01022,466.65
4,299.95,ITC,13.96,,1778351.0,,ITC Limited,N,26-MAY-22,,Listed,272.9,272.7,10.46,245.45,3801.0,6547.0,2584.0,20-MAY-22,1607.0,269.7,64.0,1539561.0,-0.37,5619.23,60.46,1141533.0,271.15,,238599.18,DIVIDEND - RS 6.25 PER SHARE,271.65,06-Jun-2022 10:00:00,271.7,282.35,272.7,,200.9,271.55,271.6,28-MAY-22,930886.0,271.5,No Band,3.5,09-JUL-21,10.46,271.8,271.85,2072370.0,271.9,271.95,272.0,-1.00,,,8843.0,False,5124.0,1250.0,650.0,EQ,1.0,3969.0,0.0,272.4,INE154A01025,271.7
5,166.75,ONGC,19.63,,1939362.0,,Oil & Natural Gas Corporation Limited,N,21-FEB-22,,Listed,155.3,151.6,16.13,136.45,16355.0,10490.0,17501.0,08-MAR-22,2050.0,152.8,40.0,10704676.0,2.21,22384.17,50.69,1698253.0,154.27,,55307.94,INTERIM DIVIDEND - RS 1.75 PER SHARE,154.9,06-Jun-2022 10:00:00,154.95,194.95,151.6,,108.5,154.8,154.85,22-FEB-22,5426272.0,154.75,No Band,3.5,23-AUG-21,16.13,155.0,155.05,14509737.0,155.1,155.15,155.2,3.35,,,19971.0,False,13255.0,6296.0,1847.0,EQ,5.0,16210.0,0.0,153.1,INE213A01029,154.95
6,447.4,HINDALCO,21.46,23-AUG-21,687914.0,,Hindalco Industries Limited,N,12-AUG-21,17-AUG-21,Listed,406.95,406.75,17.96,366.1,458.0,13896.0,6744.0,29-MAR-22,855.0,395.95,658.0,2673332.0,0.02,13254.37,47.38,909673.0,402.04,,59412.44,ANNUAL GENERAL MEETING/DIVIDEND - RS 3 PER SHARE,406.65,06-Jun-2022 10:00:00,406.7,636.0,406.75,,359.8,406.5,406.55,,1266573.0,406.45,No Band,3.5,18-JUN-21,17.96,406.85,406.9,3296780.0,406.95,407.0,407.05,0.1,,,3499.0,False,661.0,2.0,1084.0,EQ,1.0,2356.0,0.0,402.6,INE038A01020,406.85
7,170.5,NTPC,15.2,,1493103.0,,NTPC Limited,N,03-FEB-22,,Listed,158.45,155.0,11.7,139.5,41657.0,14456.0,10207.0,19-APR-22,6646.0,155.2,392.0,3904767.0,2.13,9393.08,59.92,1616303.0,156.89,,73646.18,INTERIM DIVIDEND - RS 4 PER SHARE,158.2,06-Jun-2022 10:00:00,158.25,166.35,155.0,,110.45,158.1,158.15,05-FEB-22,2339862.0,158.05,No Band,3.5,03-JUN-21,11.7,158.3,158.35,5987047.0,158.4,158.45,158.5,3.3,,,54346.0,False,39231.0,17830.0,7144.0,EQ,10.0,50750.0,0.0,155.8,INE733E01010,158.3
8,130.1,IOC,15.19,,1699041.0,,Indian Oil Corporation Limited,N,09-FEB-22,,Listed,118.6,118.3,11.69,106.5,32385.0,33467.0,17410.0,09-NOV-21,7271.0,116.7,2308.0,2102228.0,-0.80,3078.57,52.34,1963521.0,117.22,,30069.77,INTERIM DIVIDEND - RS  4 PER SHARE,117.25,06-Jun-2022 10:00:00,117.3,141.5,118.3,,101.9,117.15,117.2,10-FEB-22,1100271.0,117.1,No Band,3.5,10-AUG-21,11.69,117.35,117.4,2626320.0,117.45,117.5,117.55,-0.95,,,19087.0,False,26767.0,2638.0,930.0,EQ,10.0,99355.0,0.0,118.3,INE242A01010,117.35
9,1473.35,GRASIM,16.84,27-AUG-21,128230.0,,Grasim Industries Limited,N,12-AUG-21,14-AUG-21,Listed,1340.0,1339.45,13.34,1205.55,17.0,3.0,1.0,18-JAN-22,26.0,1316.3,30.0,547454.0,-0.55,9393.15,56.13,134178.0,1329.45,,50259.97,ANNUAL GENERAL MEETING/DIVIDEND - RS 5  PER SHARE/ SPECIAL DIVIDEND - RS 4 PER SHARE,1332.05,06-Jun-2022 10:00:00,1332.15,1929.8,1339.45,,1316.3,1331.9,1332.0,,307277.0,1331.85,No Band,3.5,06-JUN-22,13.34,1332.3,1332.4,706544.0,1332.65,1332.7,1332.8,-7.40,,,476.0,False,247.0,392.0,100.0,EQ,2.0,574.0,0.0,1334.0,INE047A01021,1332.05
