,pricebandupper,symbol,applicableMargin,bcEndDate,totalSellQuantity,adhocMargin,companyName,marketType,exDate,bcStartDate,css_status_desc,dayHigh,basePrice,securityVar,pricebandlower,sellQuantity5,sellQuantity4,sellQuantity3,cm_adj_high_dt,sellQuantity2,dayLow,sellQuantity1,quantityTraded,pChange,totalTradedValue,deliveryToTradedQuantity,totalBuyQuantity,averagePrice,indexVar,cm_ffm,purpose,buyPrice2,secDate,buyPrice1,high52,previousClose,ndEndDate,low52,buyPrice4,buyPrice3,recordDate,deliveryQuantity,buyPrice5,priceBand,extremeLossMargin,cm_adj_low_dt,varMargin,sellPrice1,sellPrice2,totalTradedVolume,sellPrice3,sellPrice4,sellPrice5,change,surv_indicator,ndStartDate,buyQuantity4,isExDateFlag,buyQuantity3,buyQuantity2,buyQuantity1,series,faceValue,buyQuantity5,closePrice,open,isinCode,lastPrice
0,3057.45,RELIANCE,15.73,,472067.0,,Reliance Industries Limited,N,11-JUN-21,,Listed,2814.0,2779.5,12.23,2501.55,2.0,80.0,5.0,29-APR-22,19.0,2761.75,121.0,2052618.0,-0.20,67863.15,40.13,216195.0,2786.99,,958951.64,DIVIDEND - RS 7 PER SHARE,2773.2,06-Jun-2022 10:00:00,2773.45,2856.15,2779.5,,2016.25,2773.1,2773.15,14-JUN-21,823656.0,2773.0,No Band,3.5,28-JUL-21,12.23,2774.0,2774.05,2434998.0,2774.15,2774.35,2774.5,-5.50,,,20.0,False,25.0,1.0,348.0,EQ,10.0,926.0,0.0,2780.0,INE002A01018,2774.0
1,3784.15,TCS,13.04,,124527.0,,Tata Consultancy Services Limited,N,25-MAY-22,,Listed,3430.0,3440.15,9.54,3096.15,19.0,78.0,13.0,17-JAN-22,61.0,3380.0,96.0,205013.0,-1.58,8275.89,47.19,104936.0,3397.69,,356308.16,DIVIDEND - RS 22 PER SHARE,3385.7,06-Jun-2022 10:00:00,3386.6,4043.0,3440.15,,3122.65,3385.1,3385.2,26-MAY-22,96748.0,3385.05,No Band,3.5,03-JUN-21,9.54,3386.95,3387.0,243574.0,3387.15,3387.25,3387.3,-54.45,,,97.0,False,12.0,2.0,8.0,EQ,1.0,10.0,0.0,3418.0,INE467B01029,3385.7
2,2505.05,HDFC,16.49,,125277.0,,Housing Development Finance Corporation Limited,N,31-MAY-22,,Listed,2287.0,2277.35,12.99,2049.65,43.0,151.0,117.0,15-NOV-21,19.0,2256.05,10.0,352490.0,0.08,10277.74,62.82,126491.0,2271.81,,412024.09,DIVIDEND - RS 30 PER SHARE,2278.55,06-Jun-2022 10:00:00,2278.6,3021.1,2277.35,,2046.0,2278.45,2278.5,01-JUN-22,221437.0,2278.4,No Band,3.5,08-MAR-22,12.99,2279.15,2279.3,452403.0,2279.45,2279.5,2279.55,1.8,,,1.0,False,1.0,1.0,32.0,EQ,2.0,1.0,0.0,2257.0,INE001A01036,2279.15
3,523.05,WIPRO,15.7,,560391.0,,Wipro Limited,N,05-APR-22,,Listed,472.0,475.5,12.2,427.95,490.0,671.0,1122.0,14-OCT-21,1045.0,464.2,397.0,1560929.0,-1.82,9010.74,52.57,582539.0,467.08,,70381.56,INTERIM DIVIDEND - RS 5 PER SHARE,466.65,06-Jun-2022 10:00:00,466.7,739.85,475.5,,443.2,466.55,466.6,06-APR-22,820506.0,466.5,No Band,3.5,25-MAY-22,12.2,466.85,466.9,1929164.0,466.95,467.0,467.05,-8.65,,,1569.0,False,1628.0,5.0,19.0,EQ,2.0,2714.0,0.0,472.0,INE075A01022,466.85
4,299.95,ITC,13.96,,1767193.0,,ITC Limited,N,26-MAY-22,,Listed,272.9,272.7,10.46,245.45,10384.0,8366.0,9193.0,20-MAY-22,7288.0,269.7,193.0,1539561.0,-0.29,5389.43,60.46,1142279.0,271.11,,238599.18,DIVIDEND - RS 6.25 PER SHARE,271.85,06-Jun-2022 10:00:00,271.9,282.35,272.7,,200.9,271.75,271.8,28-MAY-22,930886.0,271.7,No Band,3.5,09-JUL-21,10.46,271.95,272.0,1987914.0,272.05,272.1,272.15,-0.80,,,683.0,False,1065.0,315.0,795.0,EQ,1.0,3010.0,0.0,272.4,INE154A01025,271.9
5,166.75,ONGC,19.63,,1979909.0,,Oil & Natural Gas Corporation Limited,N,21-FEB-22,,Listed,155.3,151.6,16.13,136.45,15447.0,39714.0,11317.0,08-MAR-22,7813.0,152.8,3988.0,10704676.0,2.14,22050.95,50.69,1689679.0,154.27,,55307.94,INTERIM DIVIDEND - RS 1.75 PER SHARE,154.75,06-Jun-2022 10:00:00,154.8,194.95,151.6,,108.5,154.65,154.7,22-FEB-22,5426272.0,154.6,No Band,3.5,23-AUG-21,16.13,154.85,154.9,14293736.0,154.95,155.0,155.05,3.25,,,19563.0,False,15965.0,4276.0,3375.0,EQ,5.0,21915.0,0.0,153.1,INE213A01029,154.85
6,447.4,HINDALCO,21.46,23-AUG-21,687914.0,,Hindalco Industries Limited,N,12-AUG-21,17-AUG-21,Listed,406.95,406.75,17.96,366.1,458.0,13896.0,6744.0,29-MAR-22,855.0,395.95,658.0,2673332.0,0.02,13254.37,47.38,909673.0,402.04,,59412.44,ANNUAL GENERAL MEETING/DIVIDEND - RS 3 PER SHARE,406.65,06-Jun-2022 10:00:00,406.7,636.0,406.75,,359.8,406.5,406.55,,1266573.0,406.45,No Band,3.5,18-JUN-21,17.96,406.85,406.9,3296780.0,406.95,407.0,407.05,0.1,,,3499.0,False,661.0,2.0,1084.0,EQ,1.0,2356.0,0.0,402.6,INE038A01020,406.85
7,170.5,NTPC,15.2,,1522007.0,,NTPC Limited,N,03-FEB-22,,Listed,158.45,155.0,11.7,139.5,20938.0,28401.0,22018.0,19-APR-22,3984.0,155.2,1453.0,3904767.0,2.06,9205.69,59.92,1570215.0,156.87,,73646.18,INTERIM DIVIDEND - RS 4 PER SHARE,158.05,06-Jun-2022 10:00:00,158.1,166.35,155.0,,110.45,157.95,158.0,05-FEB-22,2339862.0,157.9,No Band,3.5,03-JUN-21,11.7,158.2,158.25,5868353.0,158.3,158.35,158.4,3.2,,,34274.0,False,28507.0,16112.0,4624.0,EQ,10.0,47384.0,0.0,155.8,INE733E01010,158.2
8,130.1,IOC,15.19,,1716870.0,,Indian Oil Corporation Limited,N,09-FEB-22,,Listed,118.6,118.3,11.69,106.5,34949.0,30784.0,14886.0,09-NOV-21,6494.0,116.7,3895.0,2102228.0,-0.85,3058.06,52.34,1933294.0,117.22,,30069.77,INTERIM DIVIDEND - RS  4 PER SHARE,117.15,06-Jun-2022 10:00:00,117.2,141.5,118.3,,101.9,117.05,117.1,10-FEB-22,1100271.0,117.0,No Band,3.5,10-AUG-21,11.69,117.3,117.35,2608824.0,117.4,117.45,117.5,-1.00,,,28028.0,False,96160.0,7944.0,13139.0,EQ,10.0,60890.0,0.0,118.3,INE242A01010,117.3
9,1473.35,GRASIM,16.84,27-AUG-21,127736.0,,Grasim Industries Limited,N,12-AUG-21,14-AUG-21,Listed,1340.0,1339.45,13.34,1205.55,114.0,31.0,25.0,18-JAN-22,1.0,1316.3,111.0,547454.0,-0.50,9359.31,56.13,130700.0,1329.44,,50259.97,ANNUAL GENERAL MEETING/DIVIDEND - RS 5  PER SHARE/ SPECIAL DIVIDEND - RS 4 PER SHARE,1332.25,06-Jun-2022 10:00:00,1332.3,1929.8,1339.45,,1316.3,1332.15,1332.2,,307277.0,1332.1,No Band,3.5,06-JUN-22,13.34,1332.8,1333.1,704004.0,1333.15,1333.35,1333.4,-6.65,,,11.0,False,154.0,65.0,35.0,EQ,2.0,83.0,0.0,1334.0,INE047A01021,1332.8
