,pricebandupper,symbol,applicableMargin,bcEndDate,totalSellQuantity,adhocMargin,companyName,marketType,exDate,bcStartDate,css_status_desc,dayHigh,basePrice,securityVar,pricebandlower,sellQuantity5,sellQuantity4,sellQuantity3,cm_adj_high_dt,sellQuantity2,dayLow,sellQuantity1,quantityTraded,pChange,totalTradedValue,deliveryToTradedQuantity,totalBuyQuantity,averagePrice,indexVar,cm_ffm,purpose,buyPrice2,secDate,buyPrice1,high52,previousClose,ndEndDate,low52,buyPrice4,buyPrice3,recordDate,deliveryQuantity,buyPrice5,priceBand,extremeLossMargin,cm_adj_low_dt,varMargin,sellPrice1,sellPrice2,totalTradedVolume,sellPrice3,sellPrice4,sellPrice5,change,surv_indicator,ndStartDate,buyQuantity4,isExDateFlag,buyQuantity3,buyQuantity2,buyQuantity1,series,faceValue,buyQuantity5,closePrice,open,isinCode,lastPrice
0,3057.45,RELIANCE,15.73,,489333.0,,Reliance Industries Limited,N,11-JUN-21,,Listed,2814.0,2779.5,12.23,2501.55,75.0,11.0,20.0,29-APR-22,80.0,2761.75,29.0,2052618.0,-0.31,74042.94,40.13,218279.0,2785.63,,958951.64,DIVIDEND - RS 7 PER SHARE,2771.0,06-Jun-2022 10:00:00,2771.2,2856.15,2779.5,,2016.25,2770.15,2770.2,14-JUN-21,823656.0,2770.05,No Band,3.5,28-JUL-21,12.23,2771.55,2771.6,2658032.0,2771.65,2771.7,2771.75,-8.50,,,166.0,False,21.0,279.0,3.0,EQ,10.0,3.0,0.0,2780.0,INE002A01018,2771.0
1,3784.15,TCS,13.04,,158495.0,,Tata Consultancy Services Limited,N,25-MAY-22,,Listed,3430.0,3440.15,9.54,3096.15,19.0,82.0,147.0,17-JAN-22,210.0,3377.15,33.0,205013.0,-1.33,10164.39,47.19,103573.0,3395.76,,356308.16,DIVIDEND - RS 22 PER SHARE,3393.3,06-Jun-2022 10:00:00,3393.35,4043.0,3440.15,,3122.65,3393.2,3393.25,26-MAY-22,96748.0,3393.0,No Band,3.5,03-JUN-21,9.54,3394.45,3394.5,299326.0,3394.55,3394.9,3394.95,-45.70,,,121.0,False,1.0,22.0,24.0,EQ,1.0,107.0,0.0,3418.0,INE467B01029,3394.45
2,2505.05,HDFC,16.49,,123339.0,,Housing Development Finance Corporation Limited,N,31-MAY-22,,Listed,2287.0,2277.35,12.99,2049.65,147.0,1.0,2.0,15-NOV-21,46.0,2256.05,353.0,352490.0,0.11,11483.92,62.82,131191.0,2272.5,,412024.09,DIVIDEND - RS 30 PER SHARE,2279.4,06-Jun-2022 10:00:00,2279.45,3021.1,2277.35,,2046.0,2279.2,2279.25,01-JUN-22,221437.0,2279.15,No Band,3.5,08-MAR-22,12.99,2279.7,2279.75,505343.0,2279.9,2279.95,2280.0,2.5,,,12.0,False,4.0,159.0,225.0,EQ,2.0,64.0,0.0,2257.0,INE001A01036,2279.85
3,523.05,WIPRO,15.7,,721889.0,,Wipro Limited,N,05-APR-22,,Listed,472.0,475.5,12.2,427.95,884.0,676.0,256.0,14-OCT-21,32.0,464.2,70.0,1560929.0,-1.75,10353.13,52.57,603278.0,467.05,,70381.56,INTERIM DIVIDEND - RS 5 PER SHARE,467.1,06-Jun-2022 10:00:00,467.15,739.85,475.5,,443.2,467.0,467.05,06-APR-22,820506.0,466.95,No Band,3.5,25-MAY-22,12.2,467.2,467.25,2216706.0,467.3,467.35,467.4,-8.30,,,2260.0,False,2058.0,10.0,99.0,EQ,2.0,617.0,0.0,472.0,INE075A01022,467.2
4,299.95,ITC,13.96,,1827343.0,,ITC Limited,N,26-MAY-22,,Listed,272.9,272.7,10.46,245.45,5374.0,11137.0,1891.0,20-MAY-22,1211.0,269.7,463.0,1539561.0,-0.48,6135.28,60.46,1135834.0,271.16,,238599.18,DIVIDEND - RS 6.25 PER SHARE,271.2,06-Jun-2022 10:00:00,271.25,282.35,272.7,,200.9,271.1,271.15,28-MAY-22,930886.0,271.05,No Band,3.5,09-JUL-21,10.46,271.4,271.45,2262606.0,271.5,271.55,271.6,-1.30,,,4112.0,False,4726.0,5635.0,2263.0,EQ,1.0,6880.0,0.0,272.4,INE154A01025,271.4
5,166.75,ONGC,19.63,,1844084.0,,Oil & Natural Gas Corporation Limited,N,21-FEB-22,,Listed,156.0,151.6,16.13,136.45,15566.0,16854.0,8202.0,08-MAR-22,7180.0,152.8,823.0,10704676.0,2.44,25935.3,50.69,1732748.0,154.42,,55307.94,INTERIM DIVIDEND - RS 1.75 PER SHARE,155.2,06-Jun-2022 10:00:00,155.25,194.95,151.6,,108.5,155.1,155.15,22-FEB-22,5426272.0,155.05,No Band,3.5,23-AUG-21,16.13,155.3,155.35,16795297.0,155.4,155.45,155.5,3.7,,,20679.0,False,10686.0,6738.0,989.0,EQ,5.0,19074.0,0.0,153.1,INE213A01029,155.3
6,447.4,HINDALCO,21.46,23-AUG-21,740482.0,,Hindalco Industries Limited,N,12-AUG-21,17-AUG-21,Listed,406.95,406.75,17.96,366.1,706.0,3876.0,1631.0,29-MAR-22,475.0,395.95,1603.0,2673332.0,-0.86,14814.05,47.38,1013412.0,402.31,,59412.44,ANNUAL GENERAL MEETING/DIVIDEND - RS 3 PER SHARE,403.1,06-Jun-2022 10:00:00,403.15,636.0,406.75,,359.8,403.0,403.05,,1266573.0,402.95,No Band,3.5,18-JUN-21,17.96,403.25,403.3,3682248.0,403.35,403.4,403.45,-3.50,,,13713.0,False,1530.0,3372.0,426.0,EQ,1.0,577.0,0.0,402.6,INE038A01020,403.25
7,170.5,NTPC,15.2,,1533225.0,,NTPC Limited,N,03-FEB-22,,Listed,158.65,155.0,11.7,139.5,13753.0,6542.0,3762.0,19-APR-22,11063.0,155.2,2015.0,3904767.0,2.1,12340.19,59.92,1657678.0,157.22,,73646.18,INTERIM DIVIDEND - RS 4 PER SHARE,158.2,06-Jun-2022 10:00:00,158.25,166.35,155.0,,110.45,158.1,158.15,05-FEB-22,2339862.0,158.05,No Band,3.5,03-JUN-21,11.7,158.3,158.35,7848996.0,158.4,158.45,158.5,3.25,,,47872.0,False,40590.0,16051.0,1706.0,EQ,10.0,44019.0,0.0,155.8,INE733E01010,158.25
8,130.1,IOC,15.19,,1922973.0,,Indian Oil Corporation Limited,N,09-FEB-22,,Listed,118.6,118.3,11.69,106.5,67650.0,33682.0,12622.0,09-NOV-21,3828.0,116.7,1984.0,2102228.0,-0.42,3473.51,52.34,2075422.0,117.25,,30069.77,INTERIM DIVIDEND - RS  4 PER SHARE,117.7,06-Jun-2022 10:00:00,117.75,141.5,118.3,,101.9,117.6,117.65,10-FEB-22,1100271.0,117.55,No Band,3.5,10-AUG-21,11.69,117.8,117.85,2962478.0,117.9,117.95,118.0,-0.50,,,16507.0,False,15553.0,8954.0,2104.0,EQ,10.0,21701.0,0.0,118.3,INE242A01010,117.8
9,1473.35,GRASIM,16.84,27-AUG-21,133389.0,,Grasim Industries Limited,N,12-AUG-21,14-AUG-21,Listed,1340.0,1339.45,13.34,1205.55,59.0,1.0,64.0,18-JAN-22,10.0,1316.3,15.0,547454.0,-0.98,10577.6,56.13,130174.0,1329.44,,50259.97,ANNUAL GENERAL MEETING/DIVIDEND - RS 5  PER SHARE/ SPECIAL DIVIDEND - RS 4 PER SHARE,1325.75,06-Jun-2022 10:00:00,1325.85,1929.8,1339.45,,1316.3,1325.65,1325.7,,307277.0,1325.6,No Band,3.5,06-JUN-22,13.34,1326.05,1326.25,795643.0,1326.3,1326.45,1326.5,-13.15,,,20.0,False,32.0,10.0,50.0,EQ,2.0,69.0,0.0,1334.0,INE047A01021,1326.3
10,363.7,DLF,22.22,,483918.0,,DLF Limited,N,23-AUG-21,,Listed,330.45,330.65,18.72,297.6,2516.0,1540.0,40.0,18-OCT-21,785.0,323.05,686.0,1349916.0,-1.88,5921.72,41.37,534855.0,326.11,,20461.57,DIVIDEND - RS 2 PER SHARE,324.3,06-Jun-2022 10:00:00,324.4,449.7,330.65,,279.45,324.2,324.25,24-AUG-21,558419.0,324.15,No Band,3.5,01-JUL-21,18.72,324.5,324.6,1815867.0,324.65,324.7,324.75,-6.20,,,963.0,False,969.0,300.0,11.0,EQ,2.0,3074.0,0.0,329.8,INE271C01023,324.45
11,1057.0,CIPLA,14.15,25-AUG-21,184584.0,,Cipla Limited,N,09-AUG-21,11-AUG-21,Listed,979.7,960.95,10.65,864.9,115.0,921.0,30.0,15-MAR-22,193.0,960.5,119.0,412383.0,1.13,7147.24,45.59,323488.0,972.99,,49619.71,ANNUAL GENERAL MEETING/DIVIDEND - RS 5 PER SHARE,971.75,06-Jun-2022 10:00:00,971.8,1083.0,960.95,,850.0,971.6,971.65,,188014.0,971.5,No Band,3.5,17-DEC-21,10.65,972.05,972.1,734565.0,972.15,972.3,972.4,10.85,,,883.0,False,100.0,1.0,7.0,EQ,2.0,505.0,0.0,960.95,INE059A01026,971.8
12,2583.5,SIEMENS,15.28,04-FEB-22,41507.0,,Siemens Limited,N,20-JAN-22,22-JAN-22,Listed,2364.0,2348.65,11.78,2113.8,4.0,1.0,1.0,13-DEC-21,14.0,2327.9,1.0,18562.0,0.47,787.32,45.52,48206.0,2348.26,,20910.05,DIVIDEND - RS 8 PER SHARE,2357.75,06-Jun-2022 10:00:00,2358.8,2576.85,2348.65,,1920.0,2357.65,2357.7,,8450.0,2357.1,No Band,3.5,28-JUL-21,11.78,2359.55,2359.6,33528.0,2359.7,2359.8,2359.95,11.05,,,16.0,False,16.0,1.0,15.0,EQ,2.0,1.0,0.0,2344.1,INE003A01024,2359.7
13,360.95,BPCL,16.22,,602157.0,,Bharat Petroleum Corporation Limited,N,10-FEB-22,,Listed,327.9,328.15,12.72,295.35,1498.0,1503.0,593.0,14-SEP-21,392.0,320.0,128.0,1012715.0,-1.90,4323.92,56.08,648287.0,322.51,,31320.97,INTERIM DIVIDEND - RS 5 PER SHARE,321.85,06-Jun-2022 10:00:00,321.9,503.0,328.15,,312.2,321.75,321.8,11-FEB-22,567897.0,321.7,No Band,3.5,26-MAY-22,12.72,321.95,322.0,1340708.0,322.05,322.1,322.15,-6.25,,,429.0,False,52.0,31.0,225.0,EQ,10.0,1951.0,0.0,327.5,INE029A01011,321.9
14,2611.3,SRF,18.95,,61946.0,,SRF Limited,N,03-FEB-22,,Listed,2393.95,2373.95,15.45,2136.6,3.0,2.0,32.0,08-APR-22,3.0,2331.0,25.0,66899.0,-1.33,2033.12,35.08,61139.0,2353.42,,34480.75,INTERIM DIVIDEND - RS 4.75 PER SHARE,2342.25,06-Jun-2022 10:00:00,2342.45,2773.35,2373.95,,1304.2,2342.15,2342.2,04-FEB-22,23467.0,2342.05,No Band,3.5,03-JUN-21,15.45,2343.95,2344.1,86390.0,2344.15,2344.2,2344.4,-31.50,,,2.0,False,9.0,4.0,2.0,EQ,10.0,30.0,0.0,2375.0,INE647A01010,2342.45
15,3883.0,BRITANNIA,13.32,28-JUN-22,42227.0,,Britannia Industries Limited,N,20-JUN-22,22-JUN-22,Listed,3535.0,3530.0,9.82,3177.0,3.0,17.0,2.0,14-SEP-21,2.0,3450.05,2.0,57289.0,-1.89,2912.41,53.13,43561.0,3476.59,,41662.99,ANNUAL GENERAL MEETING/DIVIDEND - RS 56.50 PER SHARE,3461.45,06-Jun-2022 10:00:00,3462.0,4153.0,3530.0,,3050.0,3461.3,3461.4,,30437.0,3461.0,No Band,3.5,08-MAR-22,9.82,3463.25,3463.3,83772.0,3463.35,3463.45,3463.5,-66.65,,,10.0,False,4.0,2.0,40.0,EQ,1.0,214.0,0.0,3530.0,INE216A01030,3463.35
16,3390.05,MINDTREE,21.12,,67392.0,,MindTree Limited,N,21-OCT-21,,Listed,3062.0,3081.9,17.62,2773.75,10.0,16.0,12.0,18-NOV-21,10.0,2980.0,43.0,131347.0,-2.60,5392.67,33.53,58073.0,3005.43,,19812.05,INTERIM DIVIDEND - RS 10 PER SHARE,3000.05,06-Jun-2022 10:00:00,3001.0,5060.0,3081.9,,2351.0,2999.8,3000.0,22-OCT-21,44046.0,2999.75,No Band,3.5,04-JUN-21,17.62,3001.6,3001.65,179431.0,3001.7,3001.8,3001.85,-80.20,,,13.0,False,181.0,20.0,131.0,EQ,10.0,32.0,0.0,3055.25,INE018I01017,3001.7
17,162.35,GAIL,17.38,,1198813.0,,GAIL (India) Limited,N,21-APR-22,,Listed,149.95,147.6,13.88,132.85,11506.0,6631.0,2259.0,19-APR-22,911.0,146.0,651.0,1344617.0,0.78,3258.49,49.47,1125399.0,148.52,,26871.44,BUYBACK,148.7,06-Jun-2022 10:00:00,148.75,173.5,147.6,,125.2,148.6,148.65,22-APR-22,665203.0,148.55,No Band,3.5,20-DEC-21,13.88,148.8,148.85,2193973.0,148.9,148.95,149.0,1.15,,,7789.0,False,12023.0,3377.0,347.0,EQ,10.0,23465.0,0.0,146.1,INE129A01019,148.75
18,86.55,ZOMATO,26.09,,3232997.0,,Zomato Limited,N,,,Listed,71.2,72.15,22.59,57.75,12116.0,47718.0,10641.0,16-NOV-21,25484.0,69.2,6114.0,11080319.0,-2.01,10395.51,36.13,2438381.0,70.19,,10223.28,,70.65,06-Jun-2022 10:00:00,70.7,169.0,72.15,,50.05,70.55,70.6,,4002842.0,70.5,20.0,3.5,10-MAY-22,22.59,70.75,70.8,14810535.0,70.85,70.9,70.95,-1.45,,,10842.0,False,21719.0,7112.0,44433.0,EQ,1.0,25630.0,0.0,70.0,INE758T01015,70.7
19,564.75,MARICO,13.62,,191309.0,,Marico Limited,N,04-FEB-22,,Listed,513.4,513.45,10.12,462.15,461.0,18.0,17.0,18-OCT-21,106.0,506.35,13.0,93128.0,-0.95,740.04,55.1,208123.0,509.04,,26550.48,INTERIM DIVIDEND - RS 6.25 PER SHARE,508.5,06-Jun-2022 10:00:00,508.55,607.7,513.45,,455.65,508.4,508.45,07-FEB-22,51314.0,508.35,No Band,3.5,27-JAN-22,10.12,508.8,508.9,145379.0,508.95,509.0,509.05,-4.90,,,1296.0,False,5.0,61.0,86.0,EQ,1.0,1068.0,0.0,513.4,INE196A01026,508.55
