,pricebandupper,symbol,applicableMargin,bcEndDate,totalSellQuantity,adhocMargin,companyName,marketType,exDate,bcStartDate,css_status_desc,dayHigh,basePrice,securityVar,pricebandlower,sellQuantity5,sellQuantity4,sellQuantity3,cm_adj_high_dt,sellQuantity2,dayLow,sellQuantity1,quantityTraded,pChange,totalTradedValue,deliveryToTradedQuantity,totalBuyQuantity,averagePrice,indexVar,cm_ffm,purpose,buyPrice2,secDate,buyPrice1,high52,previousClose,ndEndDate,low52,buyPrice4,buyPrice3,recordDate,deliveryQuantity,buyPrice5,priceBand,extremeLossMargin,cm_adj_low_dt,varMargin,sellPrice1,sellPrice2,totalTradedVolume,sellPrice3,sellPrice4,sellPrice5,change,surv_indicator,ndStartDate,buyQuantity4,isExDateFlag,buyQuantity3,buyQuantity2,buyQuantity1,series,faceValue,buyQuantity5,closePrice,open,isinCode,lastPrice
0,3057.45,RELIANCE,15.73,,493454.0,,Reliance Industries Limited,N,11-JUN-21,,Listed,2814.0,2779.5,12.23,2501.55,142.0,161.0,79.0,29-APR-22,14.0,2761.75,44.0,2052618.0,-0.46,76125.26,40.13,207575.0,2785.19,,958951.64,DIVIDEND - RS 7 PER SHARE,2766.5,06-Jun-2022 10:00:00,2766.6,2856.15,2779.5,,2016.25,2766.35,2766.4,14-JUN-21,823656.0,2766.25,No Band,3.5,28-JUL-21,12.23,2767.1,2767.4,2733216.0,2767.7,2767.8,2767.9,-12.90,,,1.0,False,21.0,1.0,224.0,EQ,10.0,44.0,0.0,2780.0,INE002A01018,2766.6
1,3784.15,TCS,13.04,,159475.0,,Tata Consultancy Services Limited,N,25-MAY-22,,Listed,3430.0,3440.15,9.54,3096.15,72.0,259.0,47.0,17-JAN-22,67.0,3377.15,101.0,205013.0,-1.40,10351.52,47.19,103007.0,3395.71,,356308.16,DIVIDEND - RS 22 PER SHARE,3391.1,06-Jun-2022 10:00:00,3391.15,4043.0,3440.15,,3122.65,3390.6,3391.05,26-MAY-22,96748.0,3390.4,No Band,3.5,03-JUN-21,9.54,3392.0,3392.05,304841.0,3392.2,3392.25,3392.3,-48.10,,,8.0,False,15.0,18.0,1.0,EQ,1.0,48.0,0.0,3418.0,INE467B01029,3392.05
2,2505.05,HDFC,16.49,,125099.0,,Housing Development Finance Corporation Limited,N,31-MAY-22,,Listed,2287.0,2277.35,12.99,2049.65,1.0,1.0,1.0,15-NOV-21,223.0,2256.05,255.0,352490.0,0.2,11691.38,62.82,132593.0,2272.66,,412024.09,DIVIDEND - RS 30 PER SHARE,2281.85,06-Jun-2022 10:00:00,2281.9,3021.1,2277.35,,2046.0,2281.75,2281.8,01-JUN-22,221437.0,2281.7,No Band,3.5,08-MAR-22,12.99,2281.95,2282.0,514436.0,2282.25,2282.3,2282.35,4.6,,,58.0,False,49.0,48.0,216.0,EQ,2.0,126.0,0.0,2257.0,INE001A01036,2281.95
3,523.05,WIPRO,15.7,,722279.0,,Wipro Limited,N,05-APR-22,,Listed,472.0,475.5,12.2,427.95,1421.0,1926.0,354.0,14-OCT-21,959.0,464.2,43.0,1560929.0,-1.72,10548.15,52.57,611245.0,467.05,,70381.56,INTERIM DIVIDEND - RS 5 PER SHARE,467.2,06-Jun-2022 10:00:00,467.25,739.85,475.5,,443.2,467.1,467.15,06-APR-22,820506.0,467.05,No Band,3.5,25-MAY-22,12.2,467.3,467.4,2258462.0,467.45,467.5,467.55,-8.20,,,1464.0,False,848.0,1858.0,1.0,EQ,2.0,1800.0,0.0,472.0,INE075A01022,467.3
4,299.95,ITC,13.96,,1804950.0,,ITC Limited,N,26-MAY-22,,Listed,272.9,272.7,10.46,245.45,3122.0,1696.0,1676.0,20-MAY-22,448.0,269.7,786.0,1539561.0,-0.35,6517.0,60.46,1162828.0,271.18,,238599.18,DIVIDEND - RS 6.25 PER SHARE,271.6,06-Jun-2022 10:00:00,271.65,282.35,272.7,,200.9,271.5,271.55,28-MAY-22,930886.0,271.45,No Band,3.5,09-JUL-21,10.46,271.7,271.75,2403201.0,271.8,271.85,271.9,-0.95,,,2213.0,False,1334.0,958.0,264.0,EQ,1.0,5420.0,0.0,272.4,INE154A01025,271.75
5,166.75,ONGC,19.63,,1895328.0,,Oil & Natural Gas Corporation Limited,N,21-FEB-22,,Listed,156.0,151.6,16.13,136.45,23958.0,19446.0,23526.0,08-MAR-22,3251.0,152.8,2220.0,10704676.0,2.47,26210.67,50.69,1769214.0,154.42,,55307.94,INTERIM DIVIDEND - RS 1.75 PER SHARE,155.3,06-Jun-2022 10:00:00,155.35,194.95,151.6,,108.5,155.2,155.25,22-FEB-22,5426272.0,155.15,No Band,3.5,23-AUG-21,16.13,155.4,155.45,16973623.0,155.5,155.55,155.6,3.75,,,28417.0,False,17432.0,8850.0,3674.0,EQ,5.0,18984.0,0.0,153.1,INE213A01029,155.35
6,447.4,HINDALCO,21.46,23-AUG-21,739801.0,,Hindalco Industries Limited,N,12-AUG-21,17-AUG-21,Listed,406.95,406.75,17.96,366.1,1274.0,765.0,462.0,29-MAR-22,267.0,395.95,6037.0,2673332.0,-0.59,15152.51,47.38,1040646.0,402.34,,59412.44,ANNUAL GENERAL MEETING/DIVIDEND - RS 3 PER SHARE,404.25,06-Jun-2022 10:00:00,404.3,636.0,406.75,,359.8,404.15,404.2,,1266573.0,404.1,No Band,3.5,18-JUN-21,17.96,404.5,404.55,3766097.0,404.6,404.65,404.7,-2.40,,,2976.0,False,4259.0,743.0,1402.0,EQ,1.0,3837.0,0.0,402.6,INE038A01020,404.35
7,170.5,NTPC,15.2,,1647973.0,,NTPC Limited,N,03-FEB-22,,Listed,158.65,155.0,11.7,139.5,13435.0,12165.0,4000.0,19-APR-22,2222.0,155.2,1191.0,3904767.0,1.74,12942.17,59.92,1566618.0,157.25,,73646.18,INTERIM DIVIDEND - RS 4 PER SHARE,157.6,06-Jun-2022 10:00:00,157.65,166.35,155.0,,110.45,157.5,157.55,05-FEB-22,2339862.0,157.45,No Band,3.5,03-JUN-21,11.7,157.7,157.75,8230317.0,157.8,157.85,157.9,2.7,,,61592.0,False,44183.0,41424.0,14067.0,EQ,10.0,23940.0,0.0,155.8,INE733E01010,157.7
8,130.1,IOC,15.19,,1604450.0,,Indian Oil Corporation Limited,N,09-FEB-22,,Listed,118.6,118.3,11.69,106.5,31205.0,23044.0,26747.0,09-NOV-21,47229.0,116.7,5663.0,2102228.0,-0.38,3632.52,52.34,2120934.0,117.27,,30069.77,INTERIM DIVIDEND - RS  4 PER SHARE,117.8,06-Jun-2022 10:00:00,117.85,141.5,118.3,,101.9,117.7,117.75,10-FEB-22,1100271.0,117.65,No Band,3.5,10-AUG-21,11.69,117.95,118.0,3097572.0,118.05,118.1,118.15,-0.45,,,98914.0,False,23887.0,8023.0,6812.0,EQ,10.0,25807.0,0.0,118.3,INE242A01010,117.85
9,1473.35,GRASIM,16.84,27-AUG-21,133915.0,,Grasim Industries Limited,N,12-AUG-21,14-AUG-21,Listed,1340.0,1339.45,13.34,1205.55,402.0,1.0,57.0,18-JAN-22,68.0,1316.3,2.0,547454.0,-0.96,10755.72,56.13,134758.0,1329.39,,50259.97,ANNUAL GENERAL MEETING/DIVIDEND - RS 5  PER SHARE/ SPECIAL DIVIDEND - RS 4 PER SHARE,1326.2,06-Jun-2022 10:00:00,1326.25,1929.8,1339.45,,1316.3,1326.05,1326.1,,307277.0,1326.0,No Band,3.5,06-JUN-22,13.34,1326.55,1326.6,809072.0,1326.8,1326.95,1327.0,-12.90,,,562.0,False,920.0,475.0,1.0,EQ,2.0,412.0,0.0,1334.0,INE047A01021,1326.55
