,pricebandupper,symbol,applicableMargin,bcEndDate,totalSellQuantity,adhocMargin,companyName,marketType,exDate,bcStartDate,css_status_desc,dayHigh,basePrice,securityVar,pricebandlower,sellQuantity5,sellQuantity4,sellQuantity3,cm_adj_high_dt,sellQuantity2,dayLow,sellQuantity1,quantityTraded,pChange,totalTradedValue,deliveryToTradedQuantity,totalBuyQuantity,averagePrice,indexVar,cm_ffm,purpose,buyPrice2,secDate,buyPrice1,high52,previousClose,ndEndDate,low52,buyPrice4,buyPrice3,recordDate,deliveryQuantity,buyPrice5,priceBand,extremeLossMargin,cm_adj_low_dt,varMargin,sellPrice1,sellPrice2,totalTradedVolume,sellPrice3,sellPrice4,sellPrice5,change,surv_indicator,ndStartDate,buyQuantity4,isExDateFlag,buyQuantity3,buyQuantity2,buyQuantity1,series,faceValue,buyQuantity5,closePrice,open,isinCode,lastPrice
0,3057.45,RELIANCE,15.73,,493288.0,,Reliance Industries Limited,N,11-JUN-21,,Listed,2814.0,2779.5,12.23,2501.55,19.0,91.0,32.0,29-APR-22,16.0,2761.75,109.0,2052618.0,-0.36,74311.89,40.13,217037.0,2785.58,,958951.64,DIVIDEND - RS 7 PER SHARE,2769.35,06-Jun-2022 10:00:00,2769.5,2856.15,2779.5,,2016.25,2769.15,2769.3,14-JUN-21,823656.0,2769.1,No Band,3.5,28-JUL-21,12.23,2769.6,2769.65,2667735.0,2770.0,2770.6,2770.65,-9.90,,,32.0,False,50.0,31.0,69.0,EQ,10.0,58.0,0.0,2780.0,INE002A01018,2769.6
1,3784.15,TCS,13.04,,158495.0,,Tata Consultancy Services Limited,N,25-MAY-22,,Listed,3430.0,3440.15,9.54,3096.15,19.0,82.0,147.0,17-JAN-22,210.0,3377.15,33.0,205013.0,-1.33,10164.39,47.19,103573.0,3395.76,,356308.16,DIVIDEND - RS 22 PER SHARE,3393.3,06-Jun-2022 10:00:00,3393.35,4043.0,3440.15,,3122.65,3393.2,3393.25,26-MAY-22,96748.0,3393.0,No Band,3.5,03-JUN-21,9.54,3394.45,3394.5,299326.0,3394.55,3394.9,3394.95,-45.70,,,121.0,False,1.0,22.0,24.0,EQ,1.0,107.0,0.0,3418.0,INE467B01029,3394.45
2,2505.05,HDFC,16.49,,123339.0,,Housing Development Finance Corporation Limited,N,31-MAY-22,,Listed,2287.0,2277.35,12.99,2049.65,147.0,1.0,2.0,15-NOV-21,46.0,2256.05,353.0,352490.0,0.11,11483.92,62.82,131191.0,2272.5,,412024.09,DIVIDEND - RS 30 PER SHARE,2279.4,06-Jun-2022 10:00:00,2279.45,3021.1,2277.35,,2046.0,2279.2,2279.25,01-JUN-22,221437.0,2279.15,No Band,3.5,08-MAR-22,12.99,2279.7,2279.75,505343.0,2279.9,2279.95,2280.0,2.5,,,12.0,False,4.0,159.0,225.0,EQ,2.0,64.0,0.0,2257.0,INE001A01036,2279.85
3,523.05,WIPRO,15.7,,716753.0,,Wipro Limited,N,05-APR-22,,Listed,472.0,475.5,12.2,427.95,984.0,800.0,531.0,14-OCT-21,731.0,464.2,71.0,1560929.0,-1.70,10376.53,52.57,609795.0,467.05,,70381.56,INTERIM DIVIDEND - RS 5 PER SHARE,467.3,06-Jun-2022 10:00:00,467.35,739.85,475.5,,443.2,467.2,467.25,06-APR-22,820506.0,467.15,No Band,3.5,25-MAY-22,12.2,467.4,467.5,2221718.0,467.55,467.6,467.65,-8.10,,,1550.0,False,2586.0,224.0,39.0,EQ,2.0,1822.0,0.0,472.0,INE075A01022,467.4
4,299.95,ITC,13.96,,1797535.0,,ITC Limited,N,26-MAY-22,,Listed,272.9,272.7,10.46,245.45,931.0,2506.0,895.0,20-MAY-22,276.0,269.7,797.0,1539561.0,-0.44,6467.79,60.46,1152545.0,271.18,,238599.18,DIVIDEND - RS 6.25 PER SHARE,271.45,06-Jun-2022 10:00:00,271.5,282.35,272.7,,200.9,271.35,271.4,28-MAY-22,930886.0,271.3,No Band,3.5,09-JUL-21,10.46,271.6,271.65,2385056.0,271.7,271.75,271.8,-1.20,,,6117.0,False,4534.0,3615.0,151.0,EQ,1.0,3757.0,0.0,272.4,INE154A01025,271.5
5,166.75,ONGC,19.63,,1888141.0,,Oil & Natural Gas Corporation Limited,N,21-FEB-22,,Listed,156.0,151.6,16.13,136.45,22158.0,22808.0,28866.0,08-MAR-22,10876.0,152.8,11353.0,10704676.0,2.51,26088.72,50.69,1776582.0,154.42,,55307.94,INTERIM DIVIDEND - RS 1.75 PER SHARE,155.3,06-Jun-2022 10:00:00,155.35,194.95,151.6,,108.5,155.2,155.25,22-FEB-22,5426272.0,155.15,No Band,3.5,23-AUG-21,16.13,155.4,155.45,16894652.0,155.5,155.55,155.6,3.8,,,31400.0,False,13655.0,3997.0,311.0,EQ,5.0,17116.0,0.0,153.1,INE213A01029,155.4
6,447.4,HINDALCO,21.46,23-AUG-21,740482.0,,Hindalco Industries Limited,N,12-AUG-21,17-AUG-21,Listed,406.95,406.75,17.96,366.1,706.0,3876.0,1631.0,29-MAR-22,475.0,395.95,1603.0,2673332.0,-0.86,14814.05,47.38,1013412.0,402.31,,59412.44,ANNUAL GENERAL MEETING/DIVIDEND - RS 3 PER SHARE,403.1,06-Jun-2022 10:00:00,403.15,636.0,406.75,,359.8,403.0,403.05,,1266573.0,402.95,No Band,3.5,18-JUN-21,17.96,403.25,403.3,3682248.0,403.35,403.4,403.45,-3.50,,,13713.0,False,1530.0,3372.0,426.0,EQ,1.0,577.0,0.0,402.6,INE038A01020,403.25
7,170.5,NTPC,15.2,,1533225.0,,NTPC Limited,N,03-FEB-22,,Listed,158.65,155.0,11.7,139.5,13753.0,6542.0,3762.0,19-APR-22,11063.0,155.2,2015.0,3904767.0,2.1,12340.19,59.92,1657678.0,157.22,,73646.18,INTERIM DIVIDEND - RS 4 PER SHARE,158.2,06-Jun-2022 10:00:00,158.25,166.35,155.0,,110.45,158.1,158.15,05-FEB-22,2339862.0,158.05,No Band,3.5,03-JUN-21,11.7,158.3,158.35,7848996.0,158.4,158.45,158.5,3.25,,,47872.0,False,40590.0,16051.0,1706.0,EQ,10.0,44019.0,0.0,155.8,INE733E01010,158.25
8,130.1,IOC,15.19,,1645040.0,,Indian Oil Corporation Limited,N,09-FEB-22,,Listed,118.6,118.3,11.69,106.5,64839.0,31553.0,12028.0,09-NOV-21,8810.0,116.7,17088.0,2102228.0,-0.46,3569.55,52.34,2126465.0,117.26,,30069.77,INTERIM DIVIDEND - RS  4 PER SHARE,117.7,06-Jun-2022 10:00:00,117.75,141.5,118.3,,101.9,117.6,117.65,10-FEB-22,1100271.0,117.55,No Band,3.5,10-AUG-21,11.69,117.8,117.85,3044129.0,117.9,117.95,118.0,-0.55,,,16352.0,False,23436.0,11171.0,713.0,EQ,10.0,29481.0,0.0,118.3,INE242A01010,117.75
9,1473.35,GRASIM,16.84,27-AUG-21,133389.0,,Grasim Industries Limited,N,12-AUG-21,14-AUG-21,Listed,1340.0,1339.45,13.34,1205.55,59.0,1.0,64.0,18-JAN-22,10.0,1316.3,15.0,547454.0,-0.98,10577.6,56.13,130174.0,1329.44,,50259.97,ANNUAL GENERAL MEETING/DIVIDEND - RS 5  PER SHARE/ SPECIAL DIVIDEND - RS 4 PER SHARE,1325.75,06-Jun-2022 10:00:00,1325.85,1929.8,1339.45,,1316.3,1325.65,1325.7,,307277.0,1325.6,No Band,3.5,06-JUN-22,13.34,1326.05,1326.25,795643.0,1326.3,1326.45,1326.5,-13.15,,,20.0,False,32.0,10.0,50.0,EQ,2.0,69.0,0.0,1334.0,INE047A01021,1326.3
