,symbol,lastPrice,dayHigh,dayLow,closePrice,open,timestamp_ID,stock_market_ID,company_ID
0,RELIANCE,2791.8,2814.0,2761.75,0.0,2780.0,0,1,0
1,TCS,3394.45,3430.0,3380.0,0.0,3418.0,0,1,1
2,HDFC,2273.9,2287.0,2256.05,0.0,2257.0,0,1,2
3,WIPRO,466.9,472.0,464.2,0.0,472.0,0,1,3
4,ITC,271.0,272.9,269.7,0.0,272.4,0,1,4
5,ONGC,154.05,155.3,152.8,0.0,153.1,0,1,5
6,HINDALCO,403.6,406.2,395.95,0.0,402.6,0,1,6
7,NTPC,157.15,157.85,155.2,0.0,155.8,0,1,7
8,IOC,117.25,118.6,116.7,0.0,118.3,0,1,8
9,GRASIM,1337.45,1339.9,1316.3,0.0,1334.0,0,1,9
10,DLF,324.75,330.45,323.85,0.0,329.8,0,1,10
11,CIPLA,973.65,975.0,960.5,0.0,960.95,0,1,11
12,SIEMENS,2358.2,2358.5,2327.9,0.0,2344.1,0,1,12
13,BPCL,321.85,327.9,320.0,0.0,327.5,0,1,13
14,SRF,2355.05,2393.95,2331.0,0.0,2375.0,0,1,14
15,BRITANNIA,3461.25,3535.0,3456.85,0.0,3530.0,0,1,15
16,MINDTREE,2995.4,3062.0,2980.0,0.0,3055.25,0,1,16
17,GAIL,149.1,149.35,146.0,0.0,146.1,0,1,17
18,ZOMATO,70.25,71.0,69.2,0.0,70.0,0,1,18
19,MARICO,509.0,513.4,506.35,0.0,513.4,0,1,19
20,MPHASIS,2519.6,2552.85,2500.0,0.0,2549.0,0,1,20
21,IRCTC,654.7,665.0,648.15,0.0,665.0,0,1,21
22,UPL,768.4,778.8,764.55,0.0,771.95,0,1,22
23,GLAND,2805.0,2845.85,2788.3,0.0,2838.0,0,1,23
24,RELIANCE,2786.05,2814.0,2761.75,0.0,2780.0,1,1,0
25,TCS,3386.0,3430.0,3380.0,0.0,3418.0,1,1,1
26,HDFC,2274.6,2287.0,2256.05,0.0,2257.0,1,1,2
27,WIPRO,466.9,472.0,464.2,0.0,472.0,1,1,3
28,ITC,271.65,272.9,269.7,0.0,272.4,1,1,4
29,ONGC,154.35,155.3,152.8,0.0,153.1,1,1,5
30,HINDALCO,404.1,406.2,395.95,0.0,402.6,1,1,6
31,NTPC,157.25,157.85,155.2,0.0,155.8,1,1,7
32,IOC,117.2,118.6,116.7,0.0,118.3,1,1,8
